file_name,line_number,extracted_text,confidence
chinese_medical_document.png,1,□□□□□□□□,0.8975
chinese_medical_document.png,2,□□□□□□□,0.8853
chinese_medical_document.png,3,□□□,0.2364
chinese_medical_document.png,4,□□0450,0.7229
chinese_medical_document.png,5,□0000110101198001011234,0.9698
chinese_medical_document.png,6,□0□□□2025□8□17□,0.8573
chinese_medical_document.png,7,□□□□□□□□,0.9019
chinese_medical_document.png,8,□□□□□,0.5995
chinese_medical_document.png,9,1. □□□□□2□□,0.7796
chinese_medical_document.png,10,2. □□□02□□,0.8154
chinese_medical_document.png,11,3. □□0,0.6766
chinese_medical_document.png,12,□□□□□,0.6583
chinese_medical_document.png,13,1. □□0□□ 150mg 0000,0.8049
chinese_medical_document.png,14,2. □□□0□,0.6948
chinese_medical_document.png,15,500mg 0000,0.9392
chinese_medical_document.png,16,3. □000□□□ 100mg 0000,0.7281
chinese_medical_document.png,17,D0,0.4424
chinese_medical_document.png,18,□□□□□□□□□□□,0.959
chinese_medical_document.png,19,90,0.4725
chinese_medical_document.png,20,□□□□□□□□,0.9028
chinese_medical_document.png,21,,0.0
chinese_medical_document.png,22,□002025-08-17,0.8828
